Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
128,2025-05-15,2789,JOSHI,Joshi Hydropower Development Company Ltd,436,444.4,397.1,404.95,221166,92084168.5,435.73,521.6,265,2025-05-15T14:59:59.481661,397.1,1164,416.35,1503.98
129,2025-05-15,2790,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,1014.1,1046.2,1013,1016.72,2629,2683495.2,1025.71,1491,866,2025-05-15T14:58:47.401627,1015,38,1020.72,3732.82
130,2025-05-15,2806,GHL,Ghalemdi Hydro Limited,249,258,246.5,247.67,154007,38423976,254,318,141.6,2025-05-15T14:59:51.481477,249,499,249.49,4086.55
131,2025-05-15,2809,SHIVM,SHIVAM CEMENTS LTD,533,533,524,524.75,120169,63227129,526.65,779.9,470.5,2025-05-15T14:59:54.298617,526,476,526.15,28634.6
132,2025-05-15,2811,MHNL,Mountain Hydro Nepal Limited,260.1,265,260,261.76,23138,6045957.9,263.71,379,225,2025-05-15T14:59:59.786794,264,100,261.29,3272
133,2025-05-15,2813,PPCL,Panchthar Power Compant Limited,344,344,332.1,333.17,52290,17492814.6,337.6,367.2,221.6,2025-05-15T14:59:50.941574,334,140,334.53,3206.76
134,2025-05-15,2815,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,1530.1,1532.1,1530.1,1530.32,1075,1646197.7,1536.51,2327,1161.2,2025-05-15T14:59:07.506592,1530.3,15,1531.34,2319.27
135,2025-05-15,2829,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,1660,1692,1610,1625.42,1645,2704006.6,1630.51,2426.4,1254,2025-05-15T14:59:33.917877,1659.8,47,1643.77,2494.13
136,2025-05-15,2832,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,825.2,849,825,826.11,1711,1419378.9,834.88,1492,822.3,2025-05-15T14:55:52.279005,827,56,829.56,4109.2
137,2025-05-15,2835,NBF2,NABIL BALANCED FUND-2,9.9,10.05,9.52,9.97,3460,34287,9.71,10.63,8,2025-05-15T13:59:40.002037,9.97,13,9.9,1116.64
138,2025-05-15,2841,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,382,388,382,383.95,62088,23866727.2,384.48,527,260.3,2025-05-15T14:59:23.818474,383,236,384.4,26270.24
139,2025-05-15,2842,SJCL,SANJEN JALAVIDHYUT COMPANY LIMITED,321,321,318,319.84,14854,4742976.1,320.23,442,256,2025-05-15T14:59:51.629247,320,108,319.3,11674.16
140,2025-05-15,2854,NBBD2085,10.25% NBBL Debenture 2085,1117,1117,1117,1117.4,2,2234.8,1117,1240,1051,2025-05-15T14:57:17.845014,1117,1,1117.4,2234.8
141,2025-05-15,2760,UMHL,United Modi Hydropower Ltd.,502,505,497.2,500.93,171783,86116755.6,501.74,517,227.4,2025-05-15T14:59:59.061871,502.4,467,501.31,6163.94
142,2025-05-15,2767,HPPL,Himalayan Power Partner Ltd.,501,511,497,499.71,94355,47425267.2,506.93,711,250,2025-05-15T14:59:54.023115,501,404,502.62,5324
